gene,logP
d_sym_341,0.6883744219419352
d_sym_342,0.8598665987875113
d_sym_345,-0.26432817101414946
d_sym_352,-0.02233544170559131
d_sym_355,0.6997693934771594
d_sym_370,0.9987304541145562
d_sym_376,-0.07209581222782917
d_sym_382,0.11846646954550082
d_sym_405,-0.1553778454694527
d_sym_409,-0.037757135745279044
d_sym_411,-0.07247656557808053
d_sym_412,0.25993973895632627
d_sym_416,0.5433482861939984
d_sym_425,-0.22828137037846763
d_sym_432,0.010156954727755742
d_sym_434,-0.016314551115586287
d_sym_442,-0.273591503910977
d_sym_446,0.4687958819323574
d_sym_451,0.37045344789508927
d_sym_460,0.10758293074020066
d_sym_463,-0.05399363267597335
d_sym_470,0.38040465045809563
d_sym_474,-0.5494326992726697
d_sym_481,-0.31043238034407794
d_sym_482,0.3252839842253107
d_sym_485,0.3681496239777722
d_sym_487,-0.17287970138465494
d_sym_491,0.3740096618731358
d_sym_492,-0.02050820847140919
d_sym_494,0.8167681414412346
d_sym_496,0.26808348507963226
d_sym_507,-0.032404042288307566
d_sym_509,0.878089202594253
d_sym_516,0.03234534373661239
d_sym_518,0.044930105859685765
d_sym_521,0.05247827156500452
d_sym_522,-0.12964557134357485
d_sym_528,0.4322103863532085
d_sym_534,0.05611247161841837
d_sym_537,-0.34178460033921787
d_sym_538,-0.21494684945864637
d_sym_546,0.2652493976261002
d_sym_558,-0.41330650416767506
d_sym_567,-0.11852518842258102
d_sym_581,-0.024879427844251324
d_sym_582,-0.2924720287617622
d_sym_586,-0.0347611710966468
d_sym_587,-0.05845608145639184
d_sym_590,0.3496479822067501
d_sym_593,0.7960398878889243
d_sym_595,-0.6488535366064087
d_sym_599,-0.29643195180025533
d_sym_600,-0.3176956995120628
d_sym_602,-0.2821833865848081
d_sym_606,0.015020100053653434
d_sym_612,0.019681953751984033
d_sym_615,-1.056256463199437
d_sym_619,-0.1283661293686247
d_sym_624,0.2346227512966359
d_sym_626,-0.03169267752802936
d_sym_651,-0.04865798691816229
d_sym_655,-0.4273745238063634
d_sym_660,0.1710824867856102
d_sym_661,0.04110214815630572
d_sym_666,0.5585194995138796
d_sym_667,0.0813022346173749
d_sym_678,0.19550539393788724
d_sym_682,0.025003676254912746
d_sym_684,0.15176005315170354
d_sym_690,-0.4480196559344858
d_sym_693,0.0282301900232377
d_sym_699,-0.03459190796390472
d_sym_706,0.11714078781917772
d_sym_715,-0.28713181871295557
d_sym_716,0.1976098562909741
d_sym_718,-0.04506810589722035
d_sym_719,1.0112135351844687
d_sym_724,0.30998861435020625
d_sym_726,0.599796561092723
d_sym_729,-0.5727478307286151
d_sym_732,0.1838124207676868
d_sym_734,0.014225306829145076
d_sym_736,0.09169586486608824
d_sym_737,-0.41789942090064924
d_sym_739,0.060939858806219466
d_sym_740,0.06720536056492633
d_sym_747,0.5911785990211584
d_sym_748,0.2389821266083739
d_sym_752,0.051335263550393764
d_sym_754,0.29390279565579563
d_sym_757,0.15192771295889054
d_sym_760,0.5117690712203754
d_sym_766,0.052200987673232134
d_sym_772,-0.06908691675042677
d_sym_774,0.10216514459178232
d_sym_778,0.1321308784112153
d_sym_779,-0.10804462608531529
d_sym_782,-0.20160990502400808
d_sym_794,0.15267104861873557
d_sym_811,1.442266543487027
d_sym_813,-0.5112101954226668
d_sym_820,0.1162981092554781
d_sym_825,-0.1896132009486764
d_sym_830,-0.3452703687898229
d_sym_832,0.04088411894646496
d_sym_833,0.08757160429128798
d_sym_834,0.032751607638882636
d_sym_842,0.3842150225434833
d_sym_846,1.1195133691633936
d_sym_850,0.39492866425011697
d_sym_851,-0.6713691001482056
d_sym_857,-0.38696759873448416
d_sym_859,-0.09968678786622082
d_sym_860,-0.40768288913132816
d_sym_866,0.17756463517203178
d_sym_873,-0.18937253078898225
d_sym_875,0.23170086682483698
d_sym_879,-0.08302427831972406
d_sym_882,0.19948035665409466
d_sym_886,-0.10257689788908347
d_sym_887,-0.4009056787689358
d_sym_889,0.17729077398534993
d_sym_893,-0.05916051916835352
d_sym_898,0.33253960303258445
d_sym_910,-0.6196857277521111
d_sym_912,0.3752907983226878
d_sym_923,-0.24473942806754462
d_sym_934,-0.16355552653786581
